,Entire home/apt,Private room,Hotel room,Shared room
410,43,38,1,0
411,7,30,1,0
412,19,49,0,0
413,79,95,4,1
414,5,18,1,0
415,5,12,0,0
416,79,136,2,0
417,7,29,0,0
418,49,42,0,0
419,50,52,0,0
420,6,27,2,0
421,42,46,2,0
422,23,67,0,0
423,108,68,1,5
424,84,57,0,0
425,82,95,2,0
426,44,65,0,0
427,97,86,0,0
428,51,62,0,0
429,146,111,0,0
430,69,51,0,0
431,80,56,1,0
432,32,46,0,0
433,67,48,0,0
434,95,52,1,0
435,148,53,2,0
436,115,108,0,0
437,206,194,2,0
438,278,127,3,1
439,129,93,0,0
440,69,50,1,0
441,113,94,0,0
442,193,92,1,1
443,145,59,1,0
444,173,91,1,0
445,122,69,2,1
446,156,78,2,11
447,132,80,3,0
448,111,74,0,0
449,63,69,1,1
450,142,123,3,2
451,56,43,1,0
452,101,73,1,0
453,297,93,1,12
454,184,90,0,4
455,148,36,2,0
456,201,65,5,1
457,100,22,0,0
458,291,70,4,0
459,203,48,0,2
460,247,23,0,34
461,80,44,1,0
462,124,45,1,0
463,237,56,0,1
464,46,29,0,0
465,134,52,0,4
466,365,126,5,12
467,425,65,4,27
468,240,46,1,6
469,272,74,12,1
470,574,68,0,69
471,178,42,9,10
472,246,44,1,2
473,650,190,12,4
474,576,168,12,18
475,192,42,5,0
476,555,149,0,9
477,115,77,5,0
478,151,65,1,0
479,1038,158,0,8
480,334,104,1,0
481,576,160,0,1
482,344,227,3,8
483,95,37,1,0
484,446,78,0,6
485,89,55,0,0
486,352,80,3,6
487,254,185,6,16
488,148,61,6,3
489,195,75,1,0
490,141,72,0,0
491,125,124,0,0
492,153,91,2,2
493,124,102,1,2
494,135,80,3,0
495,425,112,7,2
496,556,140,5,5
497,207,183,3,0
498,303,123,1,1
499,171,117,0,0
500,218,169,6,11
501,92,53,3,1
502,125,35,0,13
503,89,46,0,0
504,99,29,0,0
505,143,81,0,0
506,163,68,2,4
507,140,68,0,0
508,98,62,1,2
509,146,89,1,0
510,108,174,5,1
511,65,98,3,0
512,271,120,4,5
513,177,162,2,1
514,33,74,2,0
515,338,337,2,7
516,543,391,8,2
517,173,228,4,4
518,74,122,1,0
519,98,179,2,1
520,71,139,2,0
521,63,94,0,0
522,99,110,2,3
523,169,211,2,0
524,57,98,1,1
525,402,324,4,5
526,86,148,16,7
527,46,44,2,0
528,377,364,2,0
529,283,133,4,19
530,215,177,5,2
531,176,98,0,0
532,133,128,0,0
533,132,76,1,0
534,186,93,1,1
535,83,80,0,0
536,289,111,2,10
537,146,89,0,0
538,176,89,0,2
539,79,82,1,0
540,136,109,2,0
541,53,51,1,0
542,163,118,0,0
543,404,201,2,3
544,210,222,3,0
545,107,97,0,0
546,214,179,3,0
547,96,82,0,0
548,147,81,2,0
549,126,106,0,0
